road,id,model_type,condition,name,lat,lon,length
N1,339,link,,LRP151a,22.996194,91.4005,23.0
N1,340,link,,LRP151b,22.996055,91.400667,917.0
N1,341,link,,LRP152,22.990694,91.407222,448.0
N1,342,link,,LRP152a,22.987777,91.41,296.0
N1,343,link,,LRP152b,22.985889,91.412056,256.0
N1,344,link,,LRP153,22.984222,91.413722,1051.0
N1,345,link,,LRP154,22.977444,91.420583,1000.0
N1,346,link,,LRP155,22.971138,91.427388,1000.0
N1,347,link,,LRP156,22.966333,91.435611,780.0
N1,348,link,,LRP156a,22.962417,91.441694,109.0
N1,349,link,,LRP156b,22.961806,91.4425,111.0
N1,350,link,,LRP157,22.961167,91.443389,1043.0
N1,351,link,,LRP158,22.956139,91.451778,1000.0
N1,352,link,,LRP159,22.951444,91.460028,1012.0
N1,353,link,,LRP160,22.948,91.468999,738.0
N1,354,link,,LRP160a,22.948361,91.476138,262.0
N1,355,link,,LRP161,22.9485,91.478694,1008.0
N1,356,link,,LRP162,22.94975,91.488361,1000.0
N1,357,link,,LRP163,22.949777,91.498027,288.0
N1,358,link,,LRP163a,22.949666,91.500778,211.0
N1,359,link,,LRP163b,22.949583,91.502778,509.0
N1,360,link,,LRP164,22.948277,91.50725,619.0
N1,361,link,,LRP164a,22.943944,91.510861,381.0
N1,362,link,,LRP165,22.940833,91.512444,1000.0
N1,363,link,,LRP166,22.932972,91.517222,1000.0
N1,364,link,,LRP167,22.924888,91.521333,1000.0
N1,365,link,,LRP168,22.916722,91.525388,134.0
N1,366,link,,LRP168a,22.915667,91.525944,228.0
N1,367,link,,LRP168b,22.913806,91.52686,638.0
N1,368,link,,LRP169,22.908583,91.529499,464.0
N1,369,bridge,A,LRP169a,22.904667,91.531444,3.0
N1,370,link,,LRP170,22.900333,91.533361,83.0
N1,371,link,,LRP170a,22.899444,91.533611,637.0
N1,372,link,,LRP170b,22.894,91.534694,113.0
N1,373,link,,LRP170c,22.892972,91.535027,104.0
N1,374,link,,LRP170d,22.892166,91.535305,63.0
