id,road,name,lat,lon,length,condition,constructionYear,model_type,quality_score
141,N1,LRP059,23.5056389,90.8966108,1000.0,,,link,0.0
142,N1,LRP060,23.5062778,90.9063889,911.0000000000014,,,link,0.0
143,N1,LRP060a,23.50575,90.91525,88.99999999999864,,,link,0.0
144,N1,LRP061,23.5057222,90.9160278,1000.0,,,link,0.0
145,N1,LRP062,23.5055278,90.9257216,1000.0,,,link,0.0
146,N1,LRP063,23.5042778,90.9354163,9.000000000000341,,,link,0.0
147,N1,LRP063a,23.5043333,90.9354719,264.0000000000029,,,link,0.0
148,N1,LRP063b,23.5038611,90.9371386,351.99999999999676,,,link,0.0
149,N1,LRP063c,23.5028611,90.9412774,375.0,,,link,0.0
150,N1,LRP064,23.5020278,90.9448886,1000.000000000007,,,link,0.0
151,N1,LRP065,23.4995274,90.9541667,1000.0,,,link,0.0
152,N1,LRP066,23.4986386,90.9651111,274.0000000000009,,,link,0.0
153,N1,LRP066a,23.4980552,90.9660278,182.99999999999272,,,link,0.0
154,N1,LRP067,23.4972774,90.9674716,1000.0,,,link,0.0
155,N1,LRP068,23.4942219,90.9765549,694.0000000000026,,,link,0.0
156,N1,LRP068a,23.4951386,90.9829993,4.5,A,1991.0,bridge,4.0
157,N1,LRP069,23.4942497,90.985833,1000.0,,,link,0.0
158,N1,LRP070,23.4911386,90.9950274,890.0000000000006,,,link,0.0
159,N1,LRP070a,23.4894441,91.0033056,22.00000000000557,,,link,0.0
160,N1,LRP070b,23.4893886,91.0034722,70.99999999999795,,,link,0.0
161,N1,LRP071,23.4896108,91.0043056,733.9999999999947,,,link,0.0
162,N1,LRP072,23.4893052,91.0112778,84.00000000000318,,,link,0.0
163,N1,LRP072a,23.4890552,91.0120278,22.55,C,1986.0,bridge,2.0
164,N1,LRP072b,23.4889441,91.01225,197.9999999999933,,,link,0.0
165,N1,LRP073,23.488333,91.0140833,1020.0000000000102,,,link,0.0
166,N1,LRP074,23.4846386,91.0229438,1000.0,,,link,0.0
167,N1,LRP075,23.4827771,91.0321382,912.9999999999967,,,link,0.0
168,N1,LRP075a,23.481166,91.0404441,4.6,B,1999.0,bridge,3.0
169,N1,LRP076,23.4814716,91.0419719,871.0000000000093,,,link,0.0
170,N1,LRP076a,23.4820827,91.0504167,4.6,B,1991.0,bridge,3.0
171,N1,LRP077,23.4821382,91.0516944,760.0000000000051,,,link,0.0
172,N1,LRP077a,23.4815271,91.0590278,1.5,A,1999.0,bridge,4.0
173,N1,LRP078,23.4815549,91.0613611,1000.0,,,link,0.0
174,N1,LRP079,23.4801104,91.0706382,944.0000000000026,,,link,0.0
175,N1,LRP079a,23.4770827,91.0789993,1.0,C,1993.0,bridge,2.0
176,N1,LRP080,23.4770271,91.0794716,1000.0,,,link,0.0
177,N1,LRP081,23.4781938,91.0889997,1000.0,,,link,0.0
178,N1,LRP082,23.4775549,91.0986663,513.0000000000052,,,link,0.0
179,N1,LRP082a,23.4778604,91.1036111,486.99999999999477,,,link,0.0
180,N1,LRP083,23.4779993,91.1055278,972.0000000000084,,,link,0.0
181,N1,LRP083a,23.4789438,91.1177216,1.4,A,1993.0,bridge,4.0
182,N1,LRP084,23.4789716,91.1179993,17.000000000010118,,,link,0.0
183,N1,LRP084a,23.4789716,91.118166,546.999999999997,,,link,0.0
184,N1,LRP084b,23.4793327,91.1234716,435.99999999999284,,,link,0.0
185,N1,LRP085,23.4800827,91.1276382,1000.0,,,link,0.0
